,PV generation,day_length,sunrise_seconds,sunset_seconds,hour_cos,hour_sin,solar_angle
0,0.7970000000000113,10.29888888888889,21477,58554,-0.4999999999999998,0.8660254037844387,23.627011378949675
1,1.1550000000000011,10.29888888888889,21477,58554,-0.7071067811865475,0.7071067811865476,28.110851652658276
2,1.356999999999999,10.29888888888889,21477,58554,-0.8660254037844387,0.4999999999999999,29.917599010827484
3,1.8729999999999905,10.29888888888889,21477,58554,-0.9659258262890682,0.258819045102521,28.78983352755383
4,2.180000000000007,10.29888888888889,21477,58554,-1.0,1.2246467991473532e-16,24.89053681005598
5,6.935000000000002,10.29888888888889,21477,58554,-0.9659258262890684,-0.2588190451025208,18.712071677782188
6,4.155999999999992,10.29888888888889,21477,58554,-0.8660254037844388,-0.4999999999999997,10.863000933851646
7,2.091000000000008,10.29888888888889,21477,58554,-0.7071067811865479,-0.7071067811865471,2.0426053793811665
8,0.0219999999999913,10.29888888888889,21477,58554,-0.5000000000000004,-0.8660254037844384,-7.995898042284019
9,0.0,10.29888888888889,21477,58554,-0.2588190451025206,-0.9659258262890684,-18.06181686997554
10,0.0,10.29888888888889,21477,58554,-1.8369701987210294e-16,-1.0,-28.08291145072841
11,0.0,10.29888888888889,21477,58554,0.2588190451025203,-0.9659258262890684,-37.60981547857291
12,0.0,10.29888888888889,21477,58554,0.5000000000000001,-0.8660254037844386,-45.98393366715687
13,0.0,10.29888888888889,21477,58554,0.7071067811865474,-0.7071067811865477,-52.17971999366525
14,0.0,10.29888888888889,21477,58554,0.8660254037844384,-0.5000000000000004,-54.870372731888445
15,0.0,10.245555555555557,21567,58452,0.965925826289068,-0.2588190451025215,-53.22594202045649
16,0.0,10.245555555555557,21567,58452,1.0,0.0,-47.778634655137175
17,0.0,10.245555555555557,21567,58452,0.9659258262890684,0.2588190451025207,-39.83979224793185
18,0.0,10.245555555555557,21567,58452,0.8660254037844387,0.4999999999999999,-30.536999857657687
19,0.0,10.245555555555557,21567,58452,0.7071067811865476,0.7071067811865475,-20.607076994402806
20,0.0,10.245555555555557,21567,58452,0.5000000000000001,0.8660254037844386,-10.537926368984763
21,0.0,10.245555555555557,21567,58452,0.2588190451025207,0.9659258262890684,-0.1164724854180613
22,0.0490000000000065,10.245555555555557,21567,58452,6.123233995736766e-17,1.0,8.604350455546886
23,0.5600000000000023,10.245555555555557,21567,58452,-0.2588190451025206,0.9659258262890684,16.72656802221443
24,1.393000000000001,10.245555555555557,21567,58452,-0.4999999999999998,0.8660254037844387,23.32351746509937
25,2.086999999999989,10.245555555555557,21567,58452,-0.7071067811865475,0.7071067811865476,27.78505484530089
26,3.099000000000004,10.245555555555557,21567,58452,-0.8660254037844387,0.4999999999999999,29.57876638001058
27,3.221000000000004,10.245555555555557,21567,58452,-0.9659258262890682,0.258819045102521,28.451383776105786
28,2.6769999999999925,10.245555555555557,21567,58452,-1.0,1.2246467991473532e-16,24.564312384991982
29,3.280000000000001,10.245555555555557,21567,58452,-0.9659258262890684,-0.2588190451025208,18.404326607595166
30,2.917999999999992,10.245555555555557,21567,58452,-0.8660254037844388,-0.4999999999999997,10.575075674018942
31,0.5470000000000255,10.245555555555557,21567,58452,-0.7071067811865479,-0.7071067811865471,1.7886401875551434
32,0.0,10.245555555555557,21567,58452,-0.5000000000000004,-0.8660254037844384,-8.260923082308818
33,0.0,10.245555555555557,21567,58452,-0.2588190451025206,-0.9659258262890684,-18.323638785983334
34,0.0,10.245555555555557,21567,58452,-1.8369701987210294e-16,-1.0,-28.349387563472067
35,0.0,10.245555555555557,21567,58452,0.2588190451025203,-0.9659258262890684,-37.890009950363215
36,0.0,10.245555555555557,21567,58452,0.5000000000000001,-0.8660254037844386,-46.28676799695454
37,0.0,10.245555555555557,21567,58452,0.7071067811865474,-0.7071067811865477,-52.50795115128821
38,0.0,10.245555555555557,21567,58452,0.8660254037844384,-0.5000000000000004,-55.20928827274714
39,0.0,10.1925,21658,58351,0.965925826289068,-0.2588190451025215,-53.5467132195028
40,0.0,10.1925,21658,58351,1.0,0.0,-48.06521990973152
41,0.0,10.1925,21658,58351,0.9659258262890684,0.2588190451025207,-40.09600484609577
42,0.0,10.1925,21658,58351,0.8660254037844387,0.4999999999999999,-30.774067882886715
43,0.0,10.1925,21658,58351,0.7071067811865476,0.7071067811865475,-20.83614278318667
44,0.0,10.1925,21658,58351,0.5000000000000001,0.8660254037844386,-10.768474466446452
45,0.0,10.1925,21658,58351,0.2588190451025207,0.9659258262890684,-0.9516028239269056
46,0.1049999999999897,10.1925,21658,58351,6.123233995736766e-17,1.0,8.350691629275492
47,0.25,10.1925,21658,58351,-0.2588190451025206,0.9659258262890684,16.44927477351341
48,0.532999999999987,10.1925,21658,58351,-0.4999999999999998,0.8660254037844387,23.02169935337904
49,1.3620000000000232,10.1925,21658,58351,-0.7071067811865475,0.7071067811865476,27.46170690265965
50,4.438999999999993,10.1925,21658,58351,-0.8660254037844387,0.4999999999999999,29.243143714122724
51,9.60299999999998,10.1925,21658,58351,-0.9659258262890682,0.258819045102521,28.11670938461112
52,9.680000000000009,10.1925,21658,58351,-1.0,1.2246467991473532e-16,24.24218970620197
53,7.096000000000004,10.1925,21658,58351,-0.9659258262890684,-0.2588190451025208,18.10086266577482
54,3.914999999999992,10.1925,21658,58351,-0.8660254037844388,-0.4999999999999997,10.291605758628515
55,1.4680000000000175,10.1925,21658,58351,-0.7071067811865479,-0.7071067811865471,1.5412499435349143
56,0.0089999999999861,10.1925,21658,58351,-0.5000000000000004,-0.8660254037844384,-8.521297279574712
